OBJECTID,Building,Rack_Type,Rack_Condition,Ground_Type,Ground_Condition,Rack_Secured,Number_bikes,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1, king library,Black,Good,Brick,Good,No,3,2 racks,48aeee8a-1106-4bde-b7a0-df79a0efdf6c,5/5/15 17:28,,5/5/15 17:28,,-84.73745111,39.50891761
2, king,Black,Good,Brick,Good,No,2,,c248f626-e234-4eb0-b39b-7f9d799c47b7,5/5/15 17:32,,5/5/15 17:32,,-84.73742839,39.50867753
3, harrison,Galvanized,Fair,Brick,Good,No,4,,11cfcad3-287b-4799-8d2e-5ae3af90756d,5/5/15 17:37,,5/13/15 21:20,,-84.73670803,39.50906642
4, ogden,Galvanized,Poor,Brick,Good,No,6,2 racks,c64b5de0-2df2-4fee-9ece-8380fd2028cd,5/5/15 17:44,,5/13/15 21:20,,-84.73591411,39.50941838
5, harrison,Galvanized,Fair,Brick,Fair,No,1,,ecfcc122-7d99-4924-b488-e94116c11898,5/5/15 17:46,,5/5/15 17:46,,-84.73596814,39.50907867
6, bell tower cafe,Galvanized,Fair,Brick,Good,No,2,2 racks,060f0cca-62f7-4819-9b4f-56adef4e292c,5/5/15 17:51,,5/5/15 17:51,,-84.73540707,39.50993104
7, elliott,Black,Good,Brick,Good, ,6,,21f1d64f-a581-4059-aa19-8d7d988ed770,5/5/15 17:55,,5/13/15 21:28,,-84.73510762,39.50905051
8, stoddard,Black,Good,Brick,Good,No,1,,fffa359d-874d-4b97-9626-224384c07efc,5/5/15 17:57,,5/13/15 21:28,,-84.73513776,39.50845894
9, upham,Galvanized,Good,Concrete Pavers,Good,No,6,,6b30552b-65aa-470e-9043-549618583382,5/5/15 18:01,,5/13/15 21:28,,-84.73391767,39.50902735
10, best,Black,Good,Brick,Good,No,4,2 racks,b245c2b0-6214-46e2-b2ac-c4b938fb24a9,5/5/15 18:05,,5/5/15 18:05,,-84.73337819,39.50997064
11, best,Galvanized,Good,Concrete Pavers,Good,No,3,,5d180b1a-14e6-4127-9fd1-e54e5c7eae62,5/5/15 18:07,,5/5/15 18:07,,-84.73275956,39.50975232
12, hughes,Black,Good,Concrete Pavers,Good,No,2,2 racks,a316ef14-de29-4635-9be5-8b2bf330e0fc,5/5/15 18:09,,5/5/15 18:09,,-84.73174962,39.5100214
13, hughes,Galvanized,Poor,Concrete Pavers,Good,No,2,,48c8c149-b8a9-4b04-bf59-2574f18e6ea0,5/5/15 18:13,,5/5/15 18:13,,-84.73177208,39.50934145
14, hughes,Galvanized,Good,Brick,Good,No,3,,75fd77cc-7a12-43fa-95a8-9d799f74226f,5/5/15 18:17,,5/5/15 18:17,,-84.73172824,39.50940478
15, upham,Galvanized,Good,Brick,Good,No,3,,5fcb7fd5-d858-4593-91a8-1ad916ae08fc,5/5/15 18:21,,5/5/15 18:21,,-84.73288164,39.50874417
16, upham,Galvanized,Good,Brick,Good,No,4,,d8e060f3-e558-496d-9af8-f5e44306cda0,5/5/15 18:23,,5/5/15 18:23,,-84.73292162,39.50857048
17, culler,Black,Good,Other,Poor,No,4,2 racks,56405617-c445-4f7c-91c9-b0caa2cc46d3,5/5/15 18:37,,5/5/15 18:37,,-84.7326567,39.50790956
18, asc,Black,Good,Concrete Pavers,Good,No,8,2 racks,76f8d901-f316-4761-b80a-1c481e156f02,5/5/15 18:40,,5/5/15 18:40,,-84.73274644,39.50742655
19, asc,Black,Good,Concrete Pavers,Good,Yes,6,4 racks,0c172654-7bda-4885-86f6-0c112203f41a,5/5/15 18:42,,5/5/15 18:42,,-84.73356001,39.50738298
20, kreger,Black,Good,Brick,Good,No,0,2 racks,1da7940a-b3dc-419f-bf4c-01b47eb02cee,5/5/15 18:45,,5/5/15 18:45,,-84.73429333,39.50767153
21, asc,Black,Good,Concrete Pavers,Good,Yes,5,3 racks,77c01f4e-25b5-49ef-9e5b-4bcf00c13ee2,5/5/15 18:51,,5/5/15 18:51,,-84.73403567,39.5082866
