"","event_id","primary_act_id","secondary_act_id","purch_party_lkup_id","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_date_time","event_dt","presale_dt","onsale_dt","sales_ord_create_dttm","sales_ord_tran_dt","print_dt","timezn_nm","venue_city","venue_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm","web_session_cookie_val","gndr_cd","age_yr","income_amt","edu_val","edu_1st_indv_val","edu_2nd_indv_val","adults_in_hh_num","married_ind","child_present_ind","home_owner_ind","occpn_val","occpn_1st_val","occpn_2nd_val","dist_to_ven"
"1054221","1271e86d742675e76169","6cdc2e270775b7e2f709","b85143bf51323b72e53c","e7dbcb7ebe4bdd0033d1","Fast Lane: God & guns tour","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Fast Lane: God & guns tour","THIS TICKET IS VALID FOR%LYNYRD SKYNYRD%FAST LANE ACCESS%VERIZON WIRELESS AMP CHA%USE FAST LANE ENTRANCE%SAT JUN 19 2010  7:00PM",2,10,"BWC","2010-06-19 23:00:00","2010-06-19","NULL","2010-04-02","2010-06-09 00:00:00","2010-06-08","2010-06-09","EST","CHARLOTTE","NORTH CAROLINA","28262","NULL","T ","N ","Charlotte","e7dbcb7ebe4bdd0033d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791864","02e80398ddb503dd4668","c255c1ba33fc1964ff4f","b85143bf51323b72e53c","b3ebf656967010df8e55","Gg's Lounge Festival Pier: The Roots Picnic","GG's Lounge","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Gg's Lounge Festival Pier: The Roots Picnic"," GG'S LOUNGE VIP UPGRADE   6TH ANNUAL ROOTS PICNIC          * * * * *               FESTIVAL PIER        RAIN OR SHINE 21+ OLDER   SAT JUN 01 2013 12:00 PM ",1,75,"TicketFast","2013-06-01 16:00:00","2013-06-01","NULL","2013-05-02","2013-05-15 16:06:04","2013-05-15","2013-06-01","EST","PHILADELPHIA","PENNSYLVANIA","19106","www.ticketmaster.com","T ","N ","Delaware Valley","b3ebf656967010df8e55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1275600","01697eb687559d53b05f","9caaa3cea047cfffa7b3","b85143bf51323b72e53c","b78646927373dbf1e851","Premier Parking: Tom Petty","First Niagara Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Tom Petty","USE 2ND LANE FROM LEFT%TOM PETTY / HEARTBREAKERS%PREMIER PARKING*10-JUN-08%RIGHT OF PEDESTRIAN WKWAY%POST-GAZETTE PAVILION%TUE JUN 10 2008  7:30PM",1,22,"Mail","2008-06-10 23:30:00","2008-06-10","NULL","2008-02-04","2008-02-04 00:00:00","2008-02-04","2008-02-09","EST","BURGETTSTOWN","PENNSYLVANIA","15021","NULL","T ","N ","Pittsburgh","b78646927373dbf1e851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328500","d99422fe997b34238ab8","7c08b80bfc12baaaeb77","c82db2aa874ea19ebba0","8e4377c9e0c764a44509","Motley Crue: The Final Tour """"""""""""""""all bad things must come to an end""""""""""""""""","Mötley Crüe","Alice Cooper","CONCERTS","HEAVY METAL","CONCERTS","Motley Crue: The Final Tour """"""""""""""""all bad things must come to an end""""""""""""""""","   LIVE NATION PRESENTS          MOTLEY CRUE            WWW.MOTLEYCRUE.COM          THE FINAL TOUR        SCOTIABANK SADDLEDOME    SUN DEC 13 2015 SHOW 7PM ",2,159,"ISPU","2015-12-14 02:00:00","2015-12-13","2015-04-22","2015-04-24","2015-05-14 05:14:38","2015-05-13","2015-10-24","PST","CALGARY","ALBERTA","T2G","www.ticketmaster.ca","T ","Y ","Calgary","8e4377c9e0c764a44509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468361","8d33fe16eb3863efc7d6","c2771bc344c9db424eac","b85143bf51323b72e53c","b16c041572ace281510c","Premier Parking : john mayer, sheryl crow","Shoreline Mountain View Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : john mayer, sheryl crow","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD 10/1/06 ONLY%PREMIER PARKING%SHORELINE AMPHITHEATRE%SUN OCT 1 2006",1,20,"TicketFast","2006-10-02 01:30:00","2006-10-01","NULL","2006-07-16","2006-08-04 00:00:00","2006-08-04","2006-08-04","PST","MOUNTAIN VIEW","CALIFORNIA","94043","NULL","T ","N ","N. California","b16c041572ace281510c","F","46","NULL","NULL","NULL","NULL","1","0","NULL","1","Retired","NULL","NULL",NA
"1250897","caa6990766f56fe57aa6","002d7347ccac23f064b3","b85143bf51323b72e53c","68bb04db6f95d25a2d4e","Premier Parking: Steve Miller Band","Hollywood Casino Amphitheatre Chicago VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Steve Miller Band","**PREMIER PARKING ONLY**%STEVE MILLER BAND%TICKET VALID ONLY FOR%***PREMIER PARKING***%FIRST MIDWEST BANK AMP%SAT JUL 5 2008 7:30PM",1,40,"Mail","2008-07-06 00:30:00","2008-07-05","2008-03-12","2008-03-15","2008-03-13 00:00:00","2008-03-13","2008-03-18","CST","TINLEY PARK","ILLINOIS","60477","NULL","T ","N ","Chicago","68bb04db6f95d25a2d4e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35"
"569703","8c74dad06e4abf2c6eca","34bdd18e98c2a99eedf2","b85143bf51323b72e53c","311b39cb25f4652b79bf","Halestorm","Halestorm","NULL","CONCERTS","ROCK/POP","CONCERTS","Halestorm","   LIVE NATION PRESENTS           HALESTORM             HALESTORMROCKS.COM          THE ORBIT ROOM       2525 LAKE EASTBROOK BLVD THU JUL 02 2015 SHOW 730PM",2,50,"TicketFast","2015-07-02 22:30:00","2015-07-02","2015-04-23","2015-04-24","2015-04-24 21:10:01","2015-04-24","2015-04-24","EST","GRAND RAPIDS","MICHIGAN","49546","www.ticketmaster.com","T ","Y ","Michigan","311b39cb25f4652b79bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581000","201ec9073f86f3a428c6","c10b73eb619acc104c0e","b85143bf51323b72e53c","224acacfe1e49782be68","John Fogerty: 1969","John Fogerty","NULL","CONCERTS","ROCK/POP","CONCERTS","John Fogerty: 1969","                                 JOHN FOGERTY          WWW.JOHNFOGERTY.COM        MOHEGAN SUN ARENA                                THU JUN 25 2015 7:30 PM  ",2,89,"eTicket","2015-06-25 23:30:00","2015-06-25","2015-04-01","2015-04-03","2015-05-25 20:32:24","2015-05-25","2015-05-25","EST","UNCASVILLE","CONNECTICUT","06382","www.ticketmaster.com","T ","Y ","Boston","224acacfe1e49782be68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443407","0e559070180af28e85ed","b985fc3f67be31b556b3","b85143bf51323b72e53c","67cc1aaea4c83475204c","Nocturnal Wonderland 2015 - sunday festival tickets","Nocturnal Wonderland","NULL","CONCERTS","DANCE MUSIC/DANCE","CONCERTS","Nocturnal Wonderland 2015 - sunday festival tickets","    INSOMNIAC PRESENTS    NOCTURNAL WONDERLAND 2015  DAY THREE - SUNDAY ONLY   SAN MANUEL AMP & GROUNDS    18+ // RAIN OR SHINE    SUN SEP 06 2015 4:00 PM  ",1,125,"eTicket","2015-09-07 06:00:00","2015-09-06","2015-08-20","2015-06-11","2015-09-06 20:22:54","2015-09-06","2015-09-06","PST","SAN BERNARDINO","CALIFORNIA","92407","mobile.livenation.us","T ","Y ","Los Angeles","67cc1aaea4c83475204c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821023","7b125799bdd47398fe84","34ad0e9254b8f7d1cbe0","b85143bf51323b72e53c","8a69ef7e81b7fb7c682c","Tabernacle Parking: Regina Spektor","Tabernacle Parking","NULL","MISC","PARKING","PARKING","Tabernacle Parking: Regina Spektor","PARKING PASS-PARKING ONLY       REGINA SPEKTOR          LAZ PARKING GARAGE         REDEEM UPON EXIT       ENTER AT LUCKIE & CONE   SAT NOV 10 2012 8:00 PM  ",1,13,"TicketFast","2012-11-11 01:00:00","2012-11-10","NULL","2012-08-10","2012-09-06 16:16:50","2012-09-06","2012-11-10","EST","ATLANTA","GEORGIA","30303","www.livenation.com","T ","N ","Atlanta","8a69ef7e81b7fb7c682c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
