"","campaign_id","adgroup_id","ad_group","campaign","account","week","keyword","keyword.state","match.type","max_cpc","clicks","impressions","ctr","avg_cpc","avg_cpm","cost","avg_position","quality.score","first.page.cpc","first.position.cpc","converted.clicks","click.conversion.rate","cost.converted.click","cost.all.conv.","total.conv.value","conversions","cost.conv.","conv.rate"
"1",NA,NA,"USC Trojans Football (semi)","GG: College Football","Sports TicketsNow","2015-06-15","""""""""usc trojans football schedule""""""""","paused","Phrase","0.70",0,22,"0.00%",0,"0.00","0.00",1.4,6,1.45,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"2",NA,NA,"Nickelback (general)","z - Nickelback","TM+","2015-03-16","""""""""nickleback""""""""","enabled","Phrase","0.45",54,624,"8.65%",0.48,"41.31","25.78",2.4,9,1.51,1.51,1,"1.85%","25.78","25.78","29.88","1.0","25.78","1.85%"
"3","152db40ad2207b70997d","ee1deb63c92a954f7b39","Milwaukee Bucks (semi)","NBA - Milwaukee Bucks","TM+","2015-03-23","""""""""milwaukee bucks games""""""""","enabled","Phrase","0.85",0,5,"0.00%",0,"0.00","0.00",1.4,8,1.74,4.1,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"4","b675801ad53aee08bde8","483b97dc6cb1d11a1f9e","San Jose Sharks (targ)","GG: NHL Ticket Exchange on TicketsNow Teams","TicketExchange","2015-10-19","[sharks ticket trader]","enabled","Exact","3.00",1,5,"20.00%",1.51,"302.00","1.51",1.6,7,2.59,4.39,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"5","b07d3c259e1ec86c6a62",NA,"Criss Angel","Albany","TM+","2016-01-04","""""""""criss angel ticketmaster""""""""","enabled","Phrase","2.00",1,1,"100.00%",0.11,"110.00","0.11",1,10,0.05,0.2,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"6",NA,"510c1b90acdba6c0925d","Ticketmaster (com)","Ticketmaster App - iPhone (New)","Ticketmaster In-House","2015-08-17","""""""""www.ticket master.com""""""""","enabled","Phrase","5.00",0,8,"0.00%",0,"0.00","0.00",1,8,5.11,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"7","85bfe92c8e2ec6a41844","f2fb02629f8ad9784de9","San Diego Chargers (targ)","NFL Reg Season","TicketExchange","2015-11-09","[san diego football tickets]","enabled","Exact","10.04",2,18,"11.11%",0.95,"105.56","1.90",1.3,8,1.87,6.39,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"8","e4f2f8ba92bad8b02480",NA,"Insomnium","New York","TM+","2015-08-10","""""""""insomnium tickets""""""""","enabled","Phrase","2.00",0,3,"0.00%",0,"0.00","0.00",2,9,0.24,3.21,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"9",NA,NA,"Jacksonville Jaguars (targ)","NFL Australia","TM+","2015-11-09","""""""""jacksonville tickets""""""""","enabled","Phrase","1.70",0,3,"0.00%",0,"0.00","0.00",2,9,2.73,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"10","a8aeaef5035b6a85f1df","6b03e383915f2a868b96","Finding Neverland (targ)","THTR-GG_New York, NY","Theatre TicketsNow","2015-07-06","""""""""finding neverland tickets""""""""","enabled","Phrase","2.41",1,222,"0.45%",2.3,"10.36","2.30",5.7,6,1.81,20.9,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
