"","event_id","primary_act_id","secondary_act_id","purch_party_lkup_id","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_date_time","event_dt","presale_dt","onsale_dt","sales_ord_create_dttm","sales_ord_tran_dt","print_dt","timezn_nm","venue_city","venue_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm","web_session_cookie_val","gndr_cd","age_yr","income_amt","edu_val","edu_1st_indv_val","edu_2nd_indv_val","adults_in_hh_num","married_ind","child_present_ind","home_owner_ind","occpn_val","occpn_1st_val","occpn_2nd_val","dist_to_ven"
"1","f866af5689bc9b039b89","925de72b18827d09c1a2","b85143bf51323b72e53c","55a99fd1b61e21cac03e","Adam Sandler","Adam Sandler","NULL","CONCERTS","COMEDY","ARTS","Adam Sandler","     NETFLIX PRESENTS          SANDLER * SPADE                                   SCHNEIDER * MEADOWS     WWW.COMERICATHEATRE.COM   FRI FEB 12 2016 8:00 PM  ",2,179,"eTicket","2016-02-13 03:00:00","2016-02-12","2016-01-08","2016-01-09","2016-01-09 17:10:13","2016-01-09","2016-01-09","MST","PHOENIX","ARIZONA","85003","android.ticketmaster.us","T ","Y ","Arizona","55a99fd1b61e21cac03e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","f3215f4ae68b9b98f8cf","06ef4bcb3fe28545317b","b85143bf51323b72e53c","fa9841402891724e8f9b","Stevie Wonder: Songs In The Key Of Life Performance","Stevie Wonder","NULL","CONCERTS","ROCK/POP","CONCERTS","Stevie Wonder: Songs In The Key Of Life Performance","    TWC CONCERT SERIES     SONGS IN THE KEY OF LIFE        PERFORMANCE              STEVIE WONDER         MADISON SQUARE GARDEN    TUE NOV 24, 2015 8:00PM  ",2,189,"eTicket","2015-11-25 01:00:00","2015-11-24","2015-08-18","2015-08-21","2015-08-20 16:11:12","2015-08-20","2015-08-20","EST","NEW YORK","NEW YORK","10001","www.ticketmaster.com","T ","Y ","New York","fa9841402891724e8f9b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","c38693a565f6d3873c1e","4b677c3f5bec71eec8d1","b85143bf51323b72e53c","2d66389a162bef01a84c","Parking : katt williams","Parking Event","NULL","MISC","PARKING","PARKING","Parking : katt williams","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%KATT WILLIAMS%MURAT CENTRE-INDIANAPOLIS%SAT FEB 10 2007 8:00PM",1,10,"Mail","2007-02-11 01:00:00","2007-02-10","2007-01-11","2007-01-12","2007-01-13 00:00:00","2007-01-12","2007-01-14","CST","INDIANAPOLIS","INDIANA","46204","NULL","T ","N ","Indiana-Ohio","2d66389a162bef01a84c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","c4734bab9ce6fe64c425","6cdc2e270775b7e2f709","b85143bf51323b72e53c","807d994f744ce7b48b02","Iron Maiden: Vip Fast Lane - skip the lines","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Iron Maiden: Vip Fast Lane - skip the lines","NO ADMITTANCE TO CONCERT%FAST LANE VOUCHER%GOOD FOR THIS DAY ONLY!%PNC BANK ARTS CENTER%FAST LANE VOUCHER%SUN JUL 11 2010 7:30PM",2,10,"Mail","2010-07-11 23:30:00","2010-07-11","NULL","2010-03-20","2010-03-20 00:00:00","2010-03-20","2010-03-24","EST","HOLMDEL","NEW JERSEY","07733","NULL","T ","N ","New York","807d994f744ce7b48b02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","d146408643d8bacc2973","2c58ed01ea521e4ed3c7","b85143bf51323b72e53c","3b6adae675468792cd8e","HOUSE OF BLUES PARTY PASS","HOUSE OF BLUES PARTY PASS","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","HOUSE OF BLUES PARTY PASS","HOUSE OF BLUES MYR. BEACH         PARTY PASS        ANY 2 ITEMS + 1 SOFT DRINKVALID NIGHT OF SHOW ONLY! IN MUSIC HALL/NO CASH BACK SAT JUN 29 2013 DRS 8PM  ",2,24,"TicketFast","2013-06-30 01:00:00","2013-06-29","NULL","2013-04-05","2013-05-23 22:12:15","2013-05-23","2013-06-28","EST","NORTH MYRTLE BEACH","SOUTH CAROLINA","29582","www.concerts.livenation.com","T ","N ","Atlanta","3b6adae675468792cd8e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","d2cbc4ea691bb7a3de69","6cdc2e270775b7e2f709","b85143bf51323b72e53c","53918b8cd0737a365343","Vip Fast Lane: Toby Keith","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","Vip Fast Lane: Toby Keith","FAST LANE%TOBY KEITH FAST LANE%FAST LANE EVENT%CRICKET WIRELESS AMPHITHE%NOT A CONCERT TICKET%SAT AUG 07 2010  7:17PM",2,10,"Mail","2010-08-08 02:17:00","2010-08-07","NULL","2010-05-01","2010-05-11 00:00:00","2010-05-11","2010-05-20","PST","CHULA VISTA","CALIFORNIA","91911","NULL","T ","N ","San Diego","53918b8cd0737a365343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","e6e1475ddb259baec8bf","43f0436b905bfa7c2eec","b85143bf51323b72e53c","31bd9a59463c3908673e","Premier Parking : toby keith","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : toby keith","VALID FOR PARKING ONLY%PREMIER PARKING%TWEETER CTR, MANSFIELD%PARKING FOR TOBY KEITH%LOT OPENS 3 HOURS PRIOR%SAT AUG 27, 2005 7:30PM",1,30,"TicketFast","2005-08-27 23:30:00","2005-08-27","NULL","2005-06-25","2005-06-29 00:00:00","2005-06-29","2005-06-29","EST","MANSFIELD","MASSACHUSETTS","02048","NULL","T ","N ","Boston","31bd9a59463c3908673e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","9da48033d1d380f29f71","5a29f349bfe4d595f521","b85143bf51323b72e53c","32d30308dcc51653c233","Verizon Wireless Music Center Premier Parking : brad paisley","Klipsch Music Ctr. Ind. Premier Parking","NULL","MISC","PARKING","PARKING","Verizon Wireless Music Center Premier Parking : brad paisley","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%BRAD PAISLEY%VERIZON WIRELESS MUSIC CTR%THU JUN 26 2008 7:30PM",1,25,"Mail","2008-06-26 23:30:00","2008-06-26","NULL","2008-05-03","2008-05-29 00:00:00","2008-05-29","2008-06-02","CST","NOBLESVILLE","INDIANA","46060","NULL","T ","N ","Indiana-Ohio","32d30308dcc51653c233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2adc1d7555dfd772fd74","3f510718b680022e6c39","b85143bf51323b72e53c","5eb251a9301bca4a8d21","Verizon Wireless Premier Parking: Heaven And Hell","Verizon Wireless Amph. Irvine Premier Parking","NULL","MISC","PARKING","PARKING","Verizon Wireless Premier Parking: Heaven And Hell","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%VERIZON AMPHITHEATER%SAT OCT 6 2007 6:30 PM",1,20,"Mail","2007-10-07 01:30:00","2007-10-06","NULL","2007-07-14","2007-07-14 00:00:00","2007-07-14","2007-07-18","PST","IRVINE","CALIFORNIA","92618","NULL","T ","N ","Los Angeles","5eb251a9301bca4a8d21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","97665b60bf1f58554f05","7e15fa08c6911967a202","b85143bf51323b72e53c","175069ce4dd3b8642e39","Vip Parking: Coldplay","Smirnoff Music Centre Premium Parking","NULL","MISC","PARKING","PARKING","Vip Parking: Coldplay","SUPERPAGES.COM CENTER%P A R K I N G   O N L Y%WWW.LIVENATION.COM%NOT VALID FOR EVENT ADMISS%* * * * *%TUE JUL 21 2009 7:30PM",2,60,"TicketFast","2009-07-22 00:30:00","2009-07-21","NULL","2009-02-14","2009-02-16 00:00:00","2009-02-16","2009-07-20","CST","DALLAS","TEXAS","75210","NULL","T ","N ","Dallas","175069ce4dd3b8642e39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
