"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"01-27-2017",0,14.25,242.6,11730.2,0
"01-28-2017",0,14.07,234.4,11823.8,0
"01-29-2017",0,8.12,252.8,11721.2,0
"01-30-2017",0,8.93,249.6,11820.2,0
"01-31-2017",0,14.09,203.6,4821.8,0
"02-01-2017",0,9.71,252.7,33.8,0
"02-02-2017",0,11.07,268.1,10702.4,0
"02-03-2017",0,10.56,260.1,11816.6,0
"02-04-2017",0,11.3,212.2,11795,0
"02-05-2017",0,13.27,240.1,3012.8,0
"02-06-2017",0,9.33,209,4006.4,0
"02-07-2017",0,16.04,188.3,53.6,0
"02-08-2017",0,11.25,218.8,3770.6,0
"02-09-2017",0,13.91,297,11818.4,0
"02-10-2017",0,13.38,194.2,10736.6,0
"02-11-2017",0,8.86,194.5,42.8,0
"02-12-2017",0,14.72,206,41,0
"02-13-2017",28,11.97,284.2,4350.2,8.1
"02-14-2017",180.1,12.77,225.8,42.8,22.8
"02-15-2017",109,11.86,289.9,3997.4,16.2
"02-16-2017",31.6,8.55,263.5,11822,9
"02-17-2017",68.7,8.9,154.4,4704.8,16.2
"02-18-2017",159.8,12.5,223.3,59,24.8
"02-19-2017",67.5,9.04,251.1,55.4,17.9
"02-20-2017",61.3,7.7,87.4,53.6,16.2
"02-21-2017",83.4,9.71,177.9,59,19.4
"02-22-2017",61.2,9.1,205.5,59,18.5
"02-23-2017",100.6,10.51,198.1,62.6,21.6
"02-24-2017",224.9,14.27,181.3,69.8,22.9
"02-25-2017",291.3,15.68,244.5,2157.8,24.1
"02-26-2017",80.9,10.83,226,6242,15.3
"02-27-2017",71.4,9.64,193.3,44.6,19
"02-28-2017",198.4,13.13,166.3,51.8,21.2
"03-01-2017",421,19.71,220.6,55.4,23.7
"03-02-2017",197.2,12.71,284.4,5529.2,22.1
"03-03-2017",103.6,9.51,276.3,11822,18.6
"03-04-2017",42.1,7.29,219.6,11703.2,15.7
"03-05-2017",121.5,11.21,115.8,5594,24.2
"03-06-2017",162.7,13.58,175.4,51.8,22.1
"03-07-2017",233.4,16.96,213,53.6,18.1
"03-08-2017",238.2,16.37,227.1,46.4,21.9
"03-09-2017",0.3,8.03,255.9,39.2,0.9
"03-10-2017",74.6,12.64,310,7773.8,10.1
"03-11-2017",0,11.48,287,11816.6,0.3
"03-12-2017",0,7.23,253.6,11818.4,0
"03-13-2017",0,10,71.9,11820.2,0.1
"03-14-2017",0,14.9,225.3,11816.6,0.6
"03-15-2017",0,16.84,300.3,11818.4,0.8
"03-16-2017",0,11.79,288.4,7084.4,0.3
"03-17-2017",0,9.93,186.2,3477.2,0.1
