"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"11-28 19:25",219,14.47,191.3,60.8,25
"11-28 19:26",162.7,12.75,198.5,60.8,25
"11-28 19:27",139.9,12.06,187.5,60.8,25
"11-28 19:28",108,11.59,199.1,60.8,25
"11-28 19:29",196,13.02,196.3,60.8,25
"11-28 19:30",124.2,11.97,194.9,60.8,25
"11-28 19:31",194.6,13.65,191.3,60.8,25
"11-28 19:32",281.6,15.41,188.6,60.8,25
"11-28 19:33",182.1,13.2,191.3,60.8,25
"11-28 19:34",183.1,12.91,190.1,60.8,25
"11-28 19:35",331.3,16.55,187.3,60.8,25
"11-28 19:36",174.9,12.97,189.3,60.8,25
"11-28 19:37",140.9,12.37,199.4,60.8,25
"11-28 19:38",133,11.77,194.5,60.8,25
"11-28 19:39",145.8,12.48,191.2,60.8,25
"11-28 19:40",190.6,13.89,194.5,60.8,25
"11-28 19:41",176.7,12.64,191.2,60.8,25
"11-28 19:42",253.6,14.09,197.5,60.8,25
"11-28 19:43",212.3,14.36,189,60.8,25
"11-28 19:44",170.3,12.93,195,60.8,25
"11-28 19:45",221.4,14.63,189.5,60.8,25
"11-28 19:46",124.5,11.5,199.4,60.8,25
"11-28 19:47",205.5,13.47,195.8,60.8,25
"11-28 19:48",204.5,13.15,196.8,60.8,25
"11-28 19:49",112.1,11.3,196.8,60.8,25
"11-28 19:50",178.2,12.5,202,60.8,25
"11-28 19:51",358.1,17.09,201,60.8,25
"11-28 19:52",256.3,14.45,203.2,60.8,25
"11-28 19:53",282.6,15.35,204.3,60.8,25
"11-28 19:54",276.4,15.77,196.7,60.8,25
"11-28 19:55",287.8,17.09,198.8,60.8,25
"11-28 19:56",330.4,16.91,198.9,60.8,25
"11-28 19:57",239.7,14.92,200.2,60.8,25
"11-28 19:58",125.4,11.95,198.1,60.8,25
"11-28 19:59",270.6,15.66,195.1,60.8,25
"11-28 20:06",170.1,14.25,189.7,59,25
"11-28 20:07",248.6,15.05,198.2,59,25
"11-28 20:08",248.3,15.19,199,60.8,25
"11-28 20:09",292.4,15.43,206.2,60.8,25
"11-28 20:13",343.4,17.31,194.2,60.8,25
"11-28 20:14",404.8,18.59,195.2,60.8,25
